Nombre,$ de compra,Cantidad,Precio x unidad,Precio de venta
Barrilete, 8.200	,40,0.2,0.269
BonBonBum,7.100,24,0.296,0.388
Burbujets x12,7.000,12	,0.583,0.764
Champaigne rosada,18.500,1,18.500,24.235
ChiclesSandia,8.000,30	,0.267,0.349
Chocobreak x30,4.900,30,0.163,0.214
Chocobreak x50 ,7.800	,50,0.156,0.204
Chocodisk x18	,11.300	,18,0.628,0.822
Chocodisk x6,3.800,6,0.633,0.830
Chocomelos x30,5.200	,30,0.173,0.227
Chocorramo Mini x20,11.500,20,0.575,0.753
Cocosette,11.800,8,1.475,1.932
Detoditos picantes x12,13.500,12,1.125,1.474
Ferrero x3,4800	,3,1.600,2.096
Ferrero x4,7.500,4,1.875,2.456
Ferrero x8,21.450,1,21.450,23.595
Frunas,	7.600,32,0.238,0.311
Galleta Chokis x6,6.900	,6,1.150,1.507
Gol x24	,25.000,24,1.042,1.365
Gusanos,1.700,1,1.700,	2.227
Hatsu Botella Grande,3.500,1,3.500,4.585
Hatsu Botella Pequeña, 3.000,1	,3.000,3.930
Hatsu Lata,2.500,1,2.500,3.275
Hershey blanco	,6.500,8,0.813,1.064
Hershey grande	,3.500,1,3.500,4.585
Hershey paquete,69.500,35,1.986,2.601
Jet wafer,8.000,10,800,1.048
Jet x50,30.500,50,610,0.799
Jets  Medianas x12,7.200,12,600,0.786
Jets pequeñas x24,8.300,24,346,0.453
Jumbo mani mini,17.500,24,729,0.955
Kisses,103.000,330,312,0.409
Kitkat,3.500,1	,3.500,4.585
Kitkat paquete x24,77.000,24,3.208,4.203
M&M,3.900,1	,3.900,5.109
M&M,26.000,17,1.529,	2.004
Mani la especial,1.500,1,1.500,1.965
Manimoto por paquete	,1.300,1,1.300,1.703
Masmelos x50,7.000,50	,140,0.183
Milkiway,3.900,1,3.900,	5.109
Mini Brownies x15,10.500,15,700,0.917
Mini Pinguinos x12,8.500,12,708,0.928
Nutella pequeña,8.800,1,8.800,	11.528
Papa Margarita,1.400,1	,1.400,1.834
Papas de Limon x12,17.000,12,1.417,1.856
Paq Mini Oreos,1.700,1	,1.700,	2.227
Piazza x24,7.800,24,325,0.426
Pringles	,4.200,1,4.200,	5.502
Pringles grandes,11.500,1,11.500,15.065
Pringles x12,54.000,12,4.500,5.895
Skittles,3.900 ,1	,3.900,5.109
Snickers,3.900,1,3.900,	5.109
Supercoco,6.700,50,0.134,0.176
Takis pequeño,2.400,1,2.400,3.144
Tiras de dulces	,13.500,60,0.225,	0.295

